Source,Target
W1050948393,W1972092569
W1050948393,W1975301506
W1050948393,W1975651601
W1050948393,W1981440862
W1050948393,W2009573648
W1050948393,W2010210925
W1050948393,W2013337604
W1050948393,W2024317166
W1050948393,W2034579881
W1050948393,W2039519852
W1050948393,W2050141186
W1050948393,W2053628882
W1050948393,W2063029595
W1050948393,W2063116056
W1050948393,W2066825169
W1050948393,W2067581867
W1050948393,W2071669616
W1050948393,W2078487085
W1050948393,W2086706693
W1050948393,W2097928871
W1050948393,W2101614124
W1050948393,W2109500280
W1050948393,W2121832707
W1050948393,W2122993598
W1050948393,W2124517686
W1050948393,W2135589716
W1050948393,W2143100308
W1050948393,W2155383257
W1050948393,W2157128121
W1050948393,W2171360984
W1050948393,W4285719527
W1103140600,W1570321471
W1103140600,W1969736110
W1103140600,W1971423339
W1103140600,W1983561474
W1103140600,W2016671390
W1103140600,W2017108196
W1103140600,W2022621592
W1103140600,W2029758915
W1103140600,W2034091590
W1103140600,W2056407410
W1103140600,W2074911415
W1103140600,W2076013145
W1103140600,W2086262857
W1103140600,W2092451581
W1103140600,W2096299001
W1103140600,W2105431345
W1103140600,W2111587852
W1103140600,W2126627545
W1103140600,W2162626411
W1103140600,W2163108122
W1103140600,W2165427779
W1103140600,W2783407662
W1103140600,W4214529620
W1103140600,W4294214781
W1187265560,W1489093159
W1187265560,W1557707247
W1187265560,W1966804325
W1187265560,W1967397997
W1187265560,W1970383366
W1187265560,W1972120294
W1187265560,W1975134409
W1187265560,W1984185134
W1187265560,W1995192286
W1187265560,W1998305187
W1187265560,W2024471175
W1187265560,W2032132497
W1187265560,W2039228864
W1187265560,W2047086912
W1187265560,W2047532356
W1187265560,W2069444379
W1187265560,W2070587763
W1187265560,W2071192417
W1187265560,W2084368466
W1187265560,W2084559434
W1187265560,W2099718179
W1187265560,W2101144021
W1187265560,W2101517683
W1187265560,W2103383365
W1187265560,W2106199822
W1187265560,W2107018352
W1187265560,W2134674814
W1187265560,W2144527755
W1187265560,W2150642889
W1187265560,W2157298584
W1187265560,W2164981151
W1187265560,W2186854746
W1187265560,W22252621
W1187265560,W2276453427
W1187265560,W2586396464
W1187265560,W4392899768
W1191475974,W152104221
W1191475974,W1982679536
W1191475974,W1998640832
W1191475974,W2034906757
W1191475974,W2049041653
W1191475974,W2060452535
W1191475974,W2084182195
W1191475974,W2088044214
W1191475974,W2089239443
W1193911625,W1511506129
W1193911625,W1559393815
W1193911625,W161607055
W1193911625,W1964189028
W1193911625,W197069815
W1193911625,W1973400432
W1193911625,W1988812042
W1193911625,W1989114657
W1193911625,W1993145183
W1193911625,W2009718418
W1193911625,W2034546524
W1193911625,W2047555270
W1193911625,W2052919293
W1193911625,W2061441672
W1193911625,W2063110859
W1193911625,W2069793151
W1193911625,W2080123570
W1193911625,W2086656914
W1193911625,W2089492651
W1193911625,W2100706460
W1193911625,W2110393682
W1193911625,W2111454286
W1193911625,W2118963985
W1193911625,W2123737647
W1193911625,W2131619053
W1193911625,W2132797493
W1193911625,W2134110849
W1193911625,W2144473619
W1193911625,W2144695499
W1193911625,W2154062345
W1193911625,W2161079010
W1193911625,W2163704349
W1193911625,W2164765453
W1193911625,W2280437531
W1193911625,W3972418
W1193911625,W74315417
W1255009209,W1531026408
W1255009209,W1560247466
W1255009209,W1572814991
W1255009209,W1580502170
W1255009209,W1607972421
W1255009209,W1885639605
W1255009209,W1886991001
W1255009209,W1966058685
W1255009209,W1968779545
W1255009209,W1970274692
W1255009209,W1970897821
W1255009209,W1971866205
W1255009209,W1971964716
W1255009209,W1977201585
W1255009209,W1979059464
W1255009209,W1980161980
W1255009209,W1986369304
W1255009209,W1989001903
W1255009209,W1990020728
W1255009209,W1994454195
W1255009209,W2012104941
W1255009209,W2013135580
W1255009209,W2019150836
W1255009209,W2023203889
W1255009209,W2027781463
W1255009209,W2030456186
W1255009209,W2030742234
W1255009209,W2036305087
W1255009209,W2044272723
W1255009209,W2047000637
W1255009209,W2047001538
W1255009209,W2048995539
W1255009209,W2052267572
W1255009209,W2053091365
W1255009209,W2059738258
W1255009209,W2060176781
W1255009209,W2064757126
W1255009209,W2067569642
W1255009209,W2069365698
W1255009209,W2072492920
W1255009209,W2072500972
W1255009209,W2074082098
W1255009209,W2078593255
W1255009209,W2084866186
W1255009209,W2086563620
W1255009209,W2087617234
W1255009209,W2094004903
W1255009209,W2095132971
W1255009209,W2095264498
W1255009209,W2097919178
W1255009209,W2100185540
W1255009209,W2111636255
W1255009209,W2115805615
W1255009209,W2116146325
W1255009209,W2117211119
W1255009209,W2117569662
W1255009209,W2123166462
W1255009209,W2128123720
W1255009209,W2135347478
W1255009209,W2135987513
W1255009209,W2141379575
W1255009209,W2145253832
W1255009209,W2148898651
W1255009209,W2149798900
W1255009209,W2156748993
W1255009209,W2159317609
W1255009209,W2163760327
W1255009209,W2164194481
W1255009209,W2169584367
W1255009209,W2170194348
W1255009209,W2317190356
W1255009209,W2327985927
W1255009209,W2333337874
W1255009209,W2413272119
W1255009209,W2762428931
W1255009209,W2917612489
W1255009209,W3099514962
W1255009209,W4239502407
W1255009209,W4378893255
W1255009209,W4378893323
W1255009209,W4378893339
W1255009209,W4378893497
W1255009209,W4378894228
W1255009209,W64172502
W1255009209,W94704546
W1433225335,W1660377868
W1433225335,W1944951672
W1433225335,W1968876105
W1433225335,W1971576972
W1433225335,W1977646893
W1433225335,W1977891533
W1433225335,W1978182484
W1433225335,W1981006623
W1433225335,W1984700996
W1433225335,W1985389464
W1433225335,W1998904486
W1433225335,W2001757193
W1433225335,W2001793234
W1433225335,W2007154553
W1433225335,W2007423642
W1433225335,W2008749132
W1433225335,W2021574739
W1433225335,W2023498244
W1433225335,W2026187702
W1433225335,W2026225581
W1433225335,W2028060099
W1433225335,W2029058516
W1433225335,W2037906616
W1433225335,W2039288896
W1433225335,W2041143104
W1433225335,W2042105519
W1433225335,W2046441743
W1433225335,W2050536029
W1433225335,W2057722009
W1433225335,W2058714309
W1433225335,W2060371114
W1433225335,W2061358584
W1433225335,W2063280994
W1433225335,W2065942939
W1433225335,W2067030035
W1433225335,W2082558385
W1433225335,W2093937828
W1433225335,W2095858841
W1433225335,W2109070479
W1433225335,W2114121779
W1433225335,W2115267923
W1433225335,W2117448666
W1433225335,W2123133082
W1433225335,W2123301322
W1433225335,W2130147724
W1433225335,W2135557503
W1433225335,W2143939664
W1433225335,W2147868631
W1433225335,W2165181478
W1433225335,W2186117099
W1433225335,W4232010064
W1480202933,W1565928583
W1480202933,W1978471263
W1480202933,W1981182460
W1480202933,W2132600856
W1480202933,W2161771144
W1480202933,W2169047134
W1480202933,W2248988294
W1480202933,W3197589
W1481450461,W1494761574
W1481450461,W1551337636
W1481450461,W2005061639
W1481450461,W2023683162
W1481450461,W2025291518
W1481450461,W2027740961
W1481450461,W2061798889
W1481450461,W2083373749
W1481450461,W2096101562
W1481450461,W2102928335
W1481450461,W2111473917
W1481450461,W2114095739
W1481450461,W2123751933
W1481450461,W2125847862
W1481450461,W2135715728
W1481450461,W2155106082
W1481450461,W2487922780
W1481450461,W2545749825
W1481450461,W2914183846
W1481450461,W595099189
W1481450461,W755116247
W1483285585,W1860984563
W1483285585,W1892182310
W1483285585,W1989996007
W1483285585,W2000131397
W1483285585,W2003489823
W1483285585,W2039918903
W1483285585,W2059726689
W1483285585,W2065450153
W1483285585,W2076699494
W1483285585,W2086690081
W1483285585,W2088405740
W1483285585,W2180895670
W1483285585,W2318191271
W1483285585,W2331508125
